Animal,water,protein,fat,lactose,ash
HORSE,90.1,2.6,1,6.9,0.35
ORANGUTAN,88.5,1.4,3.5,6,0.24
MONKEY,88.4,2.2,2.7,6.4,0.18
DONKEY,90.3,1.7,1.4,6.2,0.4
HIPPO,90.4,0.6,4.5,4.4,0.1
CAMEL,87.7,3.5,3.4,4.8,0.71
BISON,86.9,4.8,1.7,5.7,0.9
BUFFALO,82.1,5.9,7.9,4.7,0.78
GUINEA PIG,81.9,7.4,7.2,2.7,0.85
CAT,81.6,10.1,6.3,4.4,0.75
FOX,81.6,6.6,5.9,4.9,0.93
LLAMA,86.5,3.9,3.2,5.6,0.8
MULE,90,2,1.8,5.5,0.47
PIG,82.8,7.1,5.1,3.7,1.1
ZEBRA,86.2,3,4.8,5.3,0.7
SHEEP,82,5.6,6.4,4.7,0.91
DOG,76.3,9.3,9.5,3,1.2
ELEPHANT,70.7,3.6,17.6,5.6,0.63
RABBIT,71.3,12.3,13.1,1.9,2.3
RAT,72.5,9.2,12.6,3.3,1.4
DEER,65.9,10.4,19.7,2.6,1.4
REINDEER,64.8,10.7,20.3,2.5,1.4
WHALE,64.8,11.1,21.2,1.6,1.7
SEAL,46.4,9.7,42,0,0.85
DOLPHIN,44.9,10.6,34.9,0.9,0.53
